LoadID,LoadNumber,Status,ShipperID,CarrierID,OriginCity,OriginState,OriginZip,DestCity,DestState,DestZip,PickupDate,DeliveryDate,EquipmentType,Commodity,WeightLbs,Miles,CustomerRate,CarrierRate,FuelSurcharge,PONumber,BOLNumber,PRONumber,PODReceived,ExceptionNotes,DriverName,DriverPhone,CreatedAt
56,MF-10056,Delivered,56,9,St. Louis,MO,63102,Kansas City,MO,64120,2026-06-19,2026-06-22,Flatbed,Lumber,38810,269,3479,2983,414.16,PO-8000056,BOL505674,PRO5255545,Y,,,,2026-06-26 00:00:00
57,MF-10057,Dispatched,57,48,El Paso,TX,79901,Albuquerque,NM,87102,2026-08-14,2026-08-15,Van,Frozen food,19474,1880,2843,2434,458.72,PO-8900057,BOL817941,PRO9028420,N,,Jamal Johnson,555-336-1726,2026-06-27 00:00:00
58,MF-10058,In Transit,58,5,El Paso,TX,79901,Albuquerque,NM,87102,2026-08-25,2026-08-29,Reefer,Frozen food,39024,698,3511,2934,567.17,PO-4200058,BOL889882,PRO5800144,N,,Ryan Patel,555-523-6080,2026-06-28 00:00:00
59,MF-10059,Delivered,59,35,El Paso,TX,79901,Albuquerque,NM,87102,2026-06-03,2026-06-06,Van,Retail freight,33339,874,3038,2685,514.83,PO-5100059,BOL620306,PRO7163058,Y,,,,2026-06-29 00:00:00
60,MF-10060,Available,60,,Los Angeles,CA,90021,Phoenix,AZ,85043,2026-08-14,2026-08-15,Flatbed,Plastic resin,19826,1297,1723,,212.03,PO-5800060,BOL436814,,N,,,,2026-06-30 00:00:00
61,MF-10061,Delivered,61,107,Newark,NJ,07105,Charlotte,NC,28208,2026-07-17,2026-07-21,Flatbed,Plastic resin,31105,1439,3218,2668,271.07,PO-6700061,BOL387892,PRO1962308,Y,,,,2026-07-01 00:00:00
62,MF-10062,Delivered,62,139,Kansas City,MO,64120,Denver,CO,80216,2026-07-10,2026-07-15,Flatbed,Auto parts,36716,251,1984,1783,293.25,PO-4800062,BOL170499,,Y,,,,2026-07-02 00:00:00
63,MF-10063,In Transit,63,5,Kansas City,MO,64120,Denver,CO,80216,2026-08-20,2026-08-25,Flatbed,Auto parts,32048,995,4525,3578,424.31,PO-6000063,BOL781113,,N,,Tyler Ali,555-580-8273,2026-07-03 00:00:00
64,MF-10064,Cancelled,64,87,Memphis,TN,38118,Houston,TX,77029,2026-08-02,2026-08-06,Reefer,Frozen food,22062,1433,2472,2196,371.80,PO-5800064,BOL827691,PRO9240971,N,,,,2026-07-04 00:00:00
65,MF-10065,Delivered,65,23,Indianapolis,IN,46225,Columbus,OH,43215,2026-08-16,2026-08-20,Flatbed,Beverages,28944,1547,4719,4131,776.52,PO-6200065,BOL844007,,Y,,,,2026-07-05 00:00:00
66,MF-10066,In Transit,66,145,Louisville,KY,40210,Nashville,TN,37210,2026-08-24,2026-08-26,Reefer,Frozen food,32176,1137,4637,3937,538.31,PO-7500066,BOL236074,PRO2446455,N,,Priya Singh,555-342-4878,2026-07-06 00:00:00
67,MF-10067,Delivered,67,58,Dallas,TX,75212,Atlanta,GA,30318,2026-06-25,2026-06-30,Reefer,Frozen food,41905,885,2698,2347,337.24,PO-4800067,BOL969325,PRO4052834,Y,,,,2026-07-07 00:00:00
68,MF-10068,Dispatched,68,8,Detroit,MI,48209,Cleveland,OH,44113,2026-08-20,2026-08-25,Van,Lumber,42006,2012,2721,2478,279.03,PO-5800068,BOL987025,,N,,Luis Kim,555-368-3653,2026-07-08 00:00:00
69,MF-10069,Delivered,69,109,Chicago,IL,60608,Newark,NJ,07105,2026-08-09,2026-08-12,Flatbed,Frozen food,19219,1529,2090,1803,288.56,PO-7900069,BOL855638,PRO6664316,Y,,,,2026-07-09 00:00:00
70,MF-10070,Covered,70,6,Dallas,TX,75212,Atlanta,GA,30318,2026-08-26,2026-08-27,Flatbed,Electronics,35301,1445,2484,2163,389.23,PO-8000070,BOL131757,PRO5859883,N,,,,2026-07-10 00:00:00
71,MF-10071,In Transit,71,124,Phoenix,AZ,85043,Denver,CO,80216,2026-08-19,2026-08-21,Reefer,Freshline dairy,17415,820,3102,2629,311.45,PO-8500071,BOL434827,PRO6794356,N,,Darnell Patel,555-361-8202,2026-07-11 00:00:00
72,MF-10072,Cancelled,72,94,Phoenix,AZ,85043,Denver,CO,80216,2026-07-09,2026-07-14,Van,Retail freight,24247,468,2390,2020,255.13,PO-4600072,BOL153063,,N,,,,2026-07-12 00:00:00
73,MF-10073,Delivered,73,45,St. Louis,MO,63102,Kansas City,MO,64120,2026-07-25,2026-07-27,Flatbed,Retail freight,40686,1980,2052,1743,269.78,PO-5900073,BOL621530,,Y,,,,2026-07-13 00:00:00
74,MF-10074,Available,74,,Baltimore,MD,21224,Philadelphia,PA,19148,2026-08-23,2026-08-25,Flatbed,Retail freight,40433,1403,1599,,136.00,PO-8100074,BOL805188,PRO1137194,N,,,,2026-07-14 00:00:00
75,MF-10075,Covered,75,136,Salt Lake City,UT,84104,Boise,ID,83702,2026-08-24,2026-08-27,Reefer,Freshline dairy,20756,922,1585,1325,217.19,PO-7500075,BOL402620,,N,,,,2026-07-15 00:00:00
76,MF-10076,In Transit,76,16,Salt Lake City,UT,84104,Boise,ID,83702,2026-08-17,2026-08-22,Van,Frozen food,34305,1204,4492,3594,629.99,PO-4200076,BOL147504,,N,,Andre Ali,555-547-6990,2026-07-16 00:00:00
77,MF-10077,Dispatched,77,20,Chicago,IL,60608,Dallas,TX,75212,2026-08-18,2026-08-22,Flatbed,Lumber,27610,1395,2065,1724,292.51,PO-6100077,BOL631958,PRO9931180,N,,Luis Johnson,555-827-6218,2026-07-17 00:00:00
78,MF-10078,In Transit,78,52,Chicago,IL,60608,Dallas,TX,75212,2026-08-19,2026-08-20,Reefer,Frozen food,22912,1657,3844,3253,679.26,PO-4300078,BOL711868,PRO9795159,N,,Sofia Shah,555-515-1436,2026-07-18 00:00:00
79,MF-10079,In Transit,79,5,Los Angeles,CA,90021,Phoenix,AZ,85043,2026-08-24,2026-08-26,Flatbed,Frozen food,34894,1207,3115,2495,464.29,PO-8900079,BOL741181,PRO2044906,N,,Ryan Okoye,555-651-6139,2026-07-19 00:00:00
80,MF-10080,Dispatched,80,119,Atlanta,GA,30318,Miami,FL,33142,2026-08-18,2026-08-21,Reefer,Freshline dairy,25325,1429,2802,2399,413.54,PO-7000080,BOL301603,PRO5680950,N,,Omar Kowalski,555-670-9734,2026-07-20 00:00:00
81,MF-10081,In Transit,81,129,Los Angeles,CA,90021,Phoenix,AZ,85043,2026-08-22,2026-08-25,Van,Beverages,32883,2014,2578,2054,380.67,PO-6500081,BOL958130,,N,,Omar Diaz,555-557-5480,2026-07-21 00:00:00
82,MF-10082,Dispatched,82,37,Newark,NJ,07105,Charlotte,NC,28208,2026-08-22,2026-08-23,Flatbed,Frozen food,43296,735,4461,3778,447.02,PO-7500082,BOL829988,,N,,Hannah Wright,555-871-5201,2026-07-22 00:00:00
83,MF-10083,Delivered,83,120,Memphis,TN,38118,Houston,TX,77029,2026-07-25,2026-07-26,Flatbed,Paper rolls,38959,385,1615,1282,182.54,PO-8300083,BOL908206,,Y,,,,2026-07-23 00:00:00
84,MF-10084,Cancelled,84,77,Kansas City,MO,64120,Denver,CO,80216,2026-07-04,2026-07-08,Flatbed,Paper rolls,11877,2039,4496,4113,504.08,PO-8900084,BOL193806,PRO4896008,N,,,,2026-07-24 00:00:00
85,MF-10085,In Transit,85,23,Kansas City,MO,64120,Denver,CO,80216,2026-08-24,2026-08-28,Van,Plastic resin,29957,762,1437,1180,201.58,PO-6900085,BOL772464,PRO9286475,N,,Nia Kowalski,555-496-1613,2026-07-25 00:00:00
86,MF-10086,Available,86,,Seattle,WA,98134,Portland,OR,97210,2026-08-18,2026-08-22,Reefer,Frozen food,38075,1507,2754,,265.07,PO-5600086,BOL853504,,N,,,,2026-07-26 00:00:00
87,MF-10087,Dispatched,87,23,Detroit,MI,48209,Cleveland,OH,44113,2026-08-17,2026-08-19,Flatbed,Plastic resin,17215,1157,3041,2656,299.47,PO-6000087,BOL360096,,N,,Sofia Okafor,555-535-2421,2026-07-27 00:00:00
88,MF-10088,Delivered,88,39,Chicago,IL,60608,Newark,NJ,07105,2026-07-22,2026-07-25,Flatbed,Electronics,15747,1133,4077,3385,422.50,PO-5900088,BOL267475,PRO9430894,N,,,,2026-07-28 00:00:00
89,MF-10089,Available,89,,Chicago,IL,60608,Newark,NJ,07105,2026-08-15,2026-08-16,Flatbed,Steel coils,22360,453,2905,,410.95,PO-7000089,BOL260626,PRO7268384,N,,,,2026-07-29 00:00:00
90,MF-10090,Delivered,90,141,Phoenix,AZ,85043,Denver,CO,80216,2026-06-18,2026-06-20,Van,Electronics,31709,339,1735,1480,230.44,PO-7600090,BOL217659,,Y,,,,2026-07-30 00:00:00
91,MF-10091,In Transit,91,20,Houston,TX,77029,Los Angeles,CA,90021,2026-08-17,2026-08-22,Van,Retail freight,41447,1092,4336,3736,386.31,PO-4300091,BOL575458,,N,,Brett Wright,555-319-4365,2026-07-31 00:00:00
92,MF-10092,Delivered,92,121,Houston,TX,77029,Los Angeles,CA,90021,2026-06-15,2026-06-19,Reefer,Freshline dairy,10968,1047,1412,1248,194.62,PO-6200092,BOL834406,,Y,,,,2026-08-01 00:00:00
93,MF-10093,Cancelled,93,37,Phoenix,AZ,85043,Denver,CO,80216,2026-06-26,2026-06-27,Reefer,Frozen food,35548,946,4536,3945,693.69,PO-6400093,BOL570325,PRO7333337,N,,,,2026-08-02 00:00:00
94,MF-10094,Delivered,94,16,Minneapolis,MN,55401,Chicago,IL,60608,2026-06-03,2026-06-06,Van,Lumber,8227,1728,1921,1694,196.46,PO-4100094,BOL412856,PRO8115687,Y,,,,2026-08-03 00:00:00
95,MF-10095,In Transit,95,48,St. Louis,MO,63102,Kansas City,MO,64120,2026-08-23,2026-08-27,Van,Steel coils,9025,672,3918,3476,659.70,PO-5300095,BOL170559,,N,,Ryan Garcia,555-232-7868,2026-08-04 00:00:00
96,MF-10096,Delivered,96,56,St. Louis,MO,63102,Kansas City,MO,64120,2026-07-25,2026-07-26,Reefer,Beverages,26957,659,4578,3607,596.92,PO-8600096,BOL704095,,Y,,,,2026-08-05 00:00:00
97,MF-10097,In Transit,97,19,El Paso,TX,79901,Albuquerque,NM,87102,2026-08-23,2026-08-26,Flatbed,Lumber,19477,1462,1649,1414,229.49,PO-8300097,BOL547952,PRO1786584,N,,Anika Chen,555-507-5508,2026-08-06 00:00:00
98,MF-10098,Cancelled,98,128,Atlanta,GA,30318,Miami,FL,33142,2026-06-19,2026-06-22,Reefer,Frozen food,39032,673,2628,2188,408.50,PO-5400098,BOL415344,PRO3421820,N,,,,2026-08-07 00:00:00
99,MF-10099,Covered,99,59,El Paso,TX,79901,Albuquerque,NM,87102,2026-08-18,2026-08-22,Flatbed,Lumber,29644,1504,1949,1626,205.62,PO-4500099,BOL571635,PRO2551288,N,,,,2026-08-08 00:00:00
100,MF-10100,In Transit,100,53,Atlanta,GA,30318,Miami,FL,33142,2026-08-26,2026-08-29,Flatbed,Electronics,22222,1161,4695,4162,715.66,PO-5300100,BOL449138,,N,,Kate Patel,555-274-4082,2026-08-09 00:00:00
101,MF-10101,Available,101,,Los Angeles,CA,90021,Phoenix,AZ,85043,2026-08-23,2026-08-24,Flatbed,Beverages,21402,992,2393,,357.90,PO-5500101,BOL678897,,N,,,,2026-08-10 00:00:00
102,MF-10102,Delivered,102,42,Kansas City,MO,64120,Denver,CO,80216,2026-06-18,2026-06-21,Reefer,Beverages,38768,1739,3308,2625,589.26,PO-6000102,BOL312994,PRO7944595,Y,,,,2026-08-11 00:00:00
103,MF-10103,Delivered,103,34,Memphis,TN,38118,Houston,TX,77029,2026-08-07,2026-08-08,Flatbed,Electronics,23074,957,3110,2554,309.82,PO-7600103,BOL973844,,Y,,,,2026-08-12 00:00:00
104,MF-10104,In Transit,104,134,Indianapolis,IN,46225,Columbus,OH,43215,2026-08-22,2026-08-26,Flatbed,Beverages,43529,1494,1973,1737,254.18,PO-4300104,BOL649395,,N,,Tyler Kowalski,555-560-3773,2026-08-13 00:00:00
105,MF-10105,Covered,105,58,Kansas City,MO,64120,Denver,CO,80216,2026-08-14,2026-08-15,Van,Paper rolls,41143,1113,1678,1474,135.77,PO-6300105,BOL163386,PRO9106820,N,,,,2026-08-14 00:00:00
106,MF-10106,In Transit,106,93,Indianapolis,IN,46225,Columbus,OH,43215,2026-08-26,2026-08-31,Reefer,Frozen food,36218,1831,1470,1249,220.19,PO-5100106,BOL212214,PRO9797727,N,,Brett Hernandez,555-748-5697,2026-08-15 00:00:00
107,MF-10107,Delivered,107,33,Louisville,KY,40210,Nashville,TN,37210,2026-06-07,2026-06-12,Reefer,Freshline dairy,22801,794,3063,2585,319.53,PO-8300107,BOL968286,PRO1531577,N,,,,2026-08-16 00:00:00
108,MF-10108,Delivered,108,76,Chicago,IL,60608,Newark,NJ,07105,2026-07-08,2026-07-13,Van,Dry grocery,29710,1338,1738,1477,214.45,PO-4600108,BOL653815,PRO4854842,Y,,,,2026-08-17 00:00:00
109,MF-10109,Delivered,109,10,Houston,TX,77029,Los Angeles,CA,90021,2026-07-22,2026-07-23,Flatbed,Steel coils,28610,212,3708,3233,363.14,PO-5300109,BOL715551,,Y,,,,2026-08-18 00:00:00
110,MF-10110,Covered,110,21,Phoenix,AZ,85043,Denver,CO,80216,2026-08-25,2026-08-28,Flatbed,Paper rolls,43426,859,3721,3337,442.49,PO-6400110,BOL892313,PRO2315798,N,,,,2026-05-01 00:00:00
111,MF-10111,In Transit,111,63,Phoenix,AZ,85043,Denver,CO,80216,2026-08-26,2026-08-27,Van,Frozen food,37527,1184,4568,3771,655.11,PO-5400111,BOL473095,PRO7298619,N,,Omar Cole,555-828-7499,2026-05-02 00:00:00
112,MF-10112,Delivered,112,38,Minneapolis,MN,55401,Chicago,IL,60608,2026-08-15,2026-08-20,Van,Frozen food,18110,1694,2031,1692,321.69,PO-6400112,BOL432061,PRO2535458,Y,,,,2026-05-03 00:00:00
113,MF-10113,Delivered,113,141,Minneapolis,MN,55401,Chicago,IL,60608,2026-06-30,2026-07-03,Reefer,Frozen food,41583,1015,2167,1821,294.06,PO-4600113,BOL127537,,Y,,,,2026-05-04 00:00:00
